0, 8.57, -0.26, 1.66
1, 8.72, -0.31, 1.83
2, 8.93, -0.33, 1.93
3, 8.93, -0.33, 1.93
4, 9.20, -0.52, 1.78
5, 9.52, -0.41, 1.46
6, 10.03, -0.52, 1.58
7, 10.03, -0.52, 1.58
8, 10.76, -0.91, 1.77
9, 11.73, -1.56, 1.77
10, 11.73, -1.56, 1.77
11, 12.68, -2.18, 1.97
12, 13.59, -2.64, 2.09
13, 14.25, -2.88, 2.15
14, 14.25, -2.88, 2.15
15, 14.67, -2.85, 2.17
16, 14.96, -2.75, 2.10
17, 15.18, -2.71, 2.18
18, 15.18, -2.71, 2.18
19, 15.40, -2.72, 2.26
20, 15.54, -2.66, 2.13
21, 15.66, -2.67, 1.92
22, 15.66, -2.67, 1.92
23, 15.74, -2.80, 1.68
24, 15.61, -2.91, 1.45
25, 15.38, -2.88, 1.25
26, 15.38, -2.88, 1.25
27, 15.05, -2.70, 1.05
28, 14.72, -2.56, 0.99
29, 14.27, -2.33, 1.09
30, 14.27, -2.33, 1.09
31, 13.73, -1.98, 1.10
32, 13.21, -1.63, 0.91
33, 12.87, -1.28, 0.59
34, 12.87, -1.28, 0.59
35, 12.52, -1.03, 0.23
36, 12.26, -1.03, 0.14
37, 12.26, -1.03, 0.14
38, 12.14, -1.18, 0.27
39, 12.11, -1.30, 0.30
40, 11.95, -1.24, 0.40
41, 11.95, -1.24, 0.40
42, 11.54, -1.00, 0.50
43, 11.04, -0.54, 0.38
44, 10.50, -0.08, 0.24
45, 10.50, -0.08, 0.24
46, 10.08, 0.34, 0.09
47, 9.84, 0.52, 0.11
48, 9.70, 0.59, 0.15
49, 9.70, 0.59, 0.15
50, 9.60, 0.62, 0.15
51, 9.56, 0.49, 0.04
52, 9.56, 0.49, 0.04
53, 9.76, -0.15, -0.33
54, 9.89, -0.52, -0.74
55, 9.89, -0.52, -0.74
56, 9.72, -0.60, -0.88
57, 9.45, -0.54, -0.98
58, 9.18, -0.49, -1.08
59, 9.18, -0.49, -1.08
60, 9.04, -0.31, -1.08
61, 9.00, -0.15, -1.13
62, 8.70, -0.43, -1.11
63, 8.70, -0.43, -1.11
64, 8.85, -0.34, -1.45
65, 8.74, -0.35, -1.69
66, 8.68, -0.39, -1.52
67, 8.68, -0.39, -1.52
68, 8.54, -0.25, -1.40
69, 8.26, 0.14, -1.39
70, 8.01, 0.55, -1.17
71, 8.01, 0.55, -1.17
72, 7.95, 0.78, -1.09
73, 8.05, 0.54, -1.17
74, 8.05, 0.54, -1.17
75, 8.11, 0.30, -1.33
76, 8.27, 0.29, -1.28
77, 8.48, 0.15, -1.23
78, 8.48, 0.15, -1.23
79, 8.57, 0.14, -1.35
80, 8.42, 0.53, -1.73
81, 8.36, 0.53, -2.06
82, 8.36, 0.53, -2.06
83, 8.33, 0.39, -2.44
84, 8.29, 0.38, -2.65
85, 8.29, 0.38, -2.65
86, 8.37, 0.42, -2.79
87, 8.47, 0.31, -2.85
88, 8.53, 0.22, -2.86
89, 8.53, 0.22, -2.86
90, 8.45, 0.23, -2.98
91, 8.32, 0.24, -3.18
92, 8.20, 0.30, -3.42
93, 8.20, 0.30, -3.42
94, 8.06, 0.29, -3.65
95, 7.91, 0.24, -3.88
96, 7.91, 0.24, -3.88
97, 7.89, 0.16, -4.18
98, 7.90, 0.21, -4.13
99, 8.01, 0.11, -3.77
100, 8.01, 0.11, -3.77
101, 8.03, 0.23, -3.12
102, 8.02, 0.52, -2.47
103, 8.03, 0.62, -2.12
104, 8.03, 0.62, -2.12
105, 7.96, 0.66, -2.06
106, 7.75, 0.97, -2.47
107, 7.44, 1.14, -2.95
108, 7.44, 1.14, -2.95
109, 7.11, 1.27, -3.32
110, 6.85, 1.46, -3.56
111, 6.67, 1.66, -3.72
112, 6.67, 1.66, -3.72
113, 6.68, 1.70, -3.58
114, 6.92, 1.57, -3.23
115, 7.34, 1.29, -2.88
116, 7.34, 1.29, -2.88
117, 7.80, 0.93, -2.71
118, 8.32, 0.48, -2.71
119, 8.68, 0.03, -2.88
120, 8.68, 0.03, -2.88
121, 8.84, -0.12, -3.16
122, 8.97, -0.21, -3.36
123, 8.99, -0.25, -3.35
124, 8.99, -0.25, -3.35
125, 8.93, -0.32, -3.29
126, 8.84, -0.17, -3.47
127, 8.93, -0.07, -3.55
128, 8.93, -0.07, -3.55
129, 9.01, -0.11, -3.26
130, 9.14, -0.11, -2.91
131, 9.26, -0.04, -2.83
132, 9.26, -0.04, -2.83
133, 9.29, 0.11, -2.93
134, 9.06, 0.16, -3.00
135, 8.79, 0.18, -3.05
136, 8.79, 0.18, -3.05
137, 8.49, 0.36, -3.09
138, 8.18, 0.53, -2.96
139, 7.91, 0.68, -2.79
140, 7.91, 0.68, -2.79
141, 7.70, 0.90, -2.52
142, 7.50, 1.20, -2.44
143, 7.27, 1.40, -2.33
144, 7.27, 1.40, -2.33
145, 7.07, 1.56, -2.35
146, 6.98, 1.80, -2.54
147, 7.04, 2.02, -2.59
148, 7.04, 2.02, -2.59
149, 7.13, 1.99, -2.49
150, 7.21, 1.95, -2.16
151, 7.21, 1.95, -2.16
152, 7.33, 2.00, -1.83
153, 7.46, 1.99, -1.55
154, 7.57, 1.95, -1.23
155, 7.57, 1.95, -1.23
156, 7.66, 1.97, -1.00
157, 7.73, 1.97, -0.90
158, 7.78, 1.98, -0.91
159, 7.78, 1.98, -0.91
160, 7.85, 2.02, -1.10
161, 7.87, 2.03, -1.25
162, 7.87, 2.03, -1.25
163, 7.87, 1.99, -1.20
164, 7.95, 2.04, -1.38
165, 7.91, 2.01, -1.59
166, 7.91, 2.01, -1.59
167, 7.90, 1.84, -1.61
168, 8.00, 1.78, -1.80
169, 8.13, 1.67, -1.98
170, 8.13, 1.67, -1.98
171, 8.36, 1.57, -2.24
172, 8.61, 1.45, -2.73
