0, 10.60, -0.38, 1.14, 48.88, 5.69, -16.38
1, 10.21, -0.64, 1.55, 50.25, 7.31, -13.00
2, 10.75, -0.35, 0.82, 50.25, 7.31, -13.00
3, 10.51, -0.53, 0.80, 46.06, 4.44, -10.56
4, 10.31, -0.36, 0.79, 35.88, 4.50, -7.31
5, 10.40, -0.30, 0.84, 24.06, 2.69, -3.94
6, 10.60, -0.45, 1.10, 13.56, -1.50, -1.38
7, 10.73, -0.48, 1.13, 13.56, -1.50, -1.38
8, 10.80, -0.54, 1.09, 8.56, -5.00, -0.44
9, 10.83, -0.60, 1.14, 9.94, -4.81, -1.31
10, 10.92, -0.80, 1.11, 14.38, -2.94, -2.56
11, 11.00, -0.94, 1.15, 17.12, -4.06, -5.38
12, 11.15, -0.90, 1.17, 17.12, -4.06, -5.38
13, 11.52, -0.88, 0.92, 17.19, -7.69, -10.25
14, 11.83, -0.79, 0.80, 16.12, -10.38, -15.44
15, 12.09, -0.47, 0.83, 14.50, -11.62, -20.56
16, 12.43, -0.23, 0.54, 11.75, -13.38, -24.19
17, 13.20, 0.34, -0.24, 11.75, -13.38, -24.19
18, 13.03, 0.07, 0.91, 7.25, -11.88, -26.12
19, 13.16, 0.32, 1.13, 7.81, -8.69, -25.31
20, 13.72, 0.47, 1.34, 13.44, -12.38, -23.94
21, 14.10, 0.17, 1.51, 19.06, -18.19, -23.81
22, 14.16, 0.19, 1.49, 19.06, -18.19, -23.81
23, 14.32, 0.32, 1.37, 23.75, -24.12, -25.81
24, 14.40, 0.29, 1.34, 26.88, -29.00, -25.75
25, 14.83, 0.64, 0.94, 27.81, -33.12, -24.25
26, 14.95, 0.58, 1.08, 26.62, -36.88, -21.88
27, 14.97, 0.54, 1.38, 26.62, -36.88, -21.88
28, 14.96, 0.57, 1.42, 29.75, -43.25, -19.94
29, 14.75, 0.58, 1.25, 33.75, -51.19, -17.38
30, 14.50, 0.53, 0.83, 37.00, -56.56, -13.06
31, 14.23, 0.57, 0.54, 38.06, -57.88, -6.81
32, 14.02, 0.56, 0.17, 36.12, -56.88, 1.56
33, 13.80, 0.57, -0.34, 36.12, -56.88, 1.56
34, 13.60, 0.48, -0.71, 31.50, -55.25, 10.50
35, 13.38, 0.21, -0.81, 23.62, -53.75, 18.62
36, 13.27, -0.20, -0.73, 16.44, -51.25, 25.12
37, 13.19, -0.45, -0.92, 13.06, -46.19, 29.56
38, 13.05, -0.70, -1.15, 13.06, -46.19, 29.56
39, 12.85, -1.13, -1.21, 10.75, -39.00, 33.12
40, 12.59, -1.50, -0.96, 7.81, -33.25, 35.88
41, 12.31, -1.96, -0.24, 8.25, -30.69, 37.19
42, 12.11, -3.17, 0.80, 16.31, -32.25, 32.56
43, 11.78, -3.58, 0.97, 30.44, -34.88, 22.50
44, 11.29, -3.63, 0.88, 45.00, -36.88, 11.44
45, 10.93, -3.27, 0.51, 50.56, -37.25, 3.81
46, 10.59, -2.58, -0.10, 50.56, -37.25, 3.81
47, 10.09, -1.76, -0.56, 42.25, -35.38, 3.38
48, 9.61, -1.22, -0.13, 25.50, -33.69, 12.69
49, 9.42, -1.27, 0.60, 8.31, -37.56, 26.88
50, 9.44, -1.65, 1.06, -3.19, -48.00, 38.50
51, 9.38, -2.18, 1.39, -3.19, -48.00, 38.50
52, 9.16, -2.70, 1.30, -7.81, -60.50, 44.25
53, 8.84, -3.18, 0.98, -9.25, -71.25, 45.31
54, 8.52, -3.57, 0.63, -10.94, -79.25, 43.00
55, 8.14, -3.67, 0.10, -14.12, -84.19, 39.88
56, 7.52, -3.37, -0.99, -14.12, -84.19, 39.88
57, 7.33, -3.21, -1.36, -19.38, -85.56, 38.44
58, 7.09, -3.14, -1.64, -27.06, -83.88, 40.44
59, 6.84, -3.07, -1.83, -35.94, -80.19, 44.81
60, 6.79, -3.19, -1.92, -44.94, -76.25, 50.94
61, 6.71, -3.36, -2.03, -44.94, -76.25, 50.94
62, 6.52, -3.53, -1.95, -51.94, -71.69, 56.75
63, 6.44, -3.81, -2.20, -55.69, -66.88, 61.38
64, 6.36, -3.98, -2.39, -58.06, -63.38, 65.00
65, 6.26, -4.15, -2.54, -62.69, -59.62, 68.19
66, 6.27, -4.28, -2.68, -68.62, -55.56, 71.75
67, 6.10, -4.84, -2.33, -76.19, -52.12, 75.12
68, 6.17, -5.19, -2.28, -83.94, -51.31, 78.06
69, 6.13, -5.60, -2.16, -83.94, -51.31, 78.06
70, 6.03, -5.90, -2.26, -89.94, -51.50, 78.06
71, 5.83, -5.91, -2.61, -93.00, -51.94, 75.81
72, 5.56, -5.91, -2.83, -95.12, -52.12, 71.94
73, 5.39, -5.92, -3.17, -97.50, -51.88, 68.38
74, 5.21, -5.76, -3.53, -100.25, -52.06, 64.31
75, 5.02, -5.46, -3.82, -100.25, -52.06, 64.31
76, 4.66, -5.08, -4.20, -103.25, -50.25, 60.56
77, 4.46, -5.03, -4.62, -106.38, -46.31, 59.75
78, 4.44, -5.13, -4.79, -112.50, -39.12, 61.31
79, 4.12, -5.06, -4.44, -120.25, -26.00, 62.19
80, 3.80, -5.05, -3.78, -124.62, -13.44, 63.00
81, 3.67, -5.01, -3.31, -124.62, -13.44, 63.00
82, 3.47, -4.85, -3.13, -122.38, -7.25, 60.88
83, 3.22, -4.65, -3.07, -113.88, -4.75, 55.25
84, 3.20, -4.26, -3.29, -101.81, -1.19, 49.44
85, 3.11, -4.18, -3.31, -93.12, 5.12, 44.88
86, 2.92, -4.02, -3.39, -88.44, 13.12, 40.88
87, 2.69, -3.84, -3.30, -88.69, 22.62, 37.12
88, 2.34, -3.68, -3.05, -92.62, 32.75, 34.38
89, 2.05, -3.55, -2.78, -92.62, 32.75, 34.38
90, 2.01, -3.51, -2.38, -98.69, 43.38, 33.75
91, 2.19, -3.39, -2.08, -105.44, 53.44, 32.44
92, 2.41, -3.21, -1.58, -111.25, 64.06, 29.38
93, 2.52, -3.16, -0.83, -115.44, 75.12, 26.69
94, 2.64, -3.36, -0.16, -115.44, 75.12, 26.69
95, 2.84, -3.35, 0.46, -115.31, 84.25, 22.00
96, 2.86, -3.33, 1.21, -111.94, 90.50, 13.94
97, 2.85, -3.42, 1.96, -107.19, 92.31, 4.00
98, 2.93, -3.37, 2.33, -100.31, 88.25, -9.75
99, 2.96, -3.08, 2.42, -100.31, 88.25, -9.75
100, 2.81, -2.42, 2.43, -94.25, 81.56, -26.06
101, 2.70, -1.60, 2.10, -92.88, 75.00, -39.94
102, 2.52, -0.81, 1.63, -101.12, 69.62, -48.38
103, 2.24, -0.05, 1.27, -117.25, 66.88, -50.06
104, 2.02, 0.64, 1.15, -135.94, 67.06, -45.00
105, 2.03, 1.71, 1.11, -151.56, 70.12, -35.81
106, 2.24, 2.04, 1.03, -161.69, 74.19, -25.12
107, 2.53, 2.19, 1.07, -161.69, 74.19, -25.12
108, 2.92, 2.26, 0.92, -165.38, 77.25, -14.69
109, 3.33, 2.29, 0.79, -162.88, 79.69, -7.19
110, 3.76, 2.28, 0.62, -155.50, 84.00, -4.88
111, 4.12, 2.39, 0.44, -144.06, 90.38, -6.56
112, 4.31, 2.73, 0.61, -129.94, 100.38, -10.00
113, 4.42, 3.00, 1.01, -129.94, 100.38, -10.00
